Source,Year,Mean,Date,Month,Season,Mean_Normalized
gcag,1850-01,-0.6746,1850-01-01,1,Winter,0.14665927363459938
gcag,1850-02,-0.3334,1850-02-01,2,Winter,0.28179333835003373
gcag,1850-03,-0.5913,1850-03-01,3,Summer,0.17965067923482117
gcag,1850-04,-0.5887,1850-04-01,4,Summer,0.18068042298704898
gcag,1850-05,-0.5088,1850-05-01,5,Summer,0.21232524060358826
gcag,1850-06,-0.3442,1850-06-01,6,Monsoon,0.277515941225395
gcag,1850-07,-0.1598,1850-07-01,7,Monsoon,0.350548536575706
gcag,1850-08,-0.2077,1850-08-01,8,Monsoon,0.33157748821735517
gcag,1850-09,-0.3847,1850-09-01,9,Post-Monsoon,0.2614757020080003
gcag,1850-10,-0.5331,1850-10-01,10,Post-Monsoon,0.2027010970731514
gcag,1850-11,-0.2825,1850-11-01,11,Post-Monsoon,0.3019525525763397
gcag,1850-12,-0.4037,1850-12-01,12,Winter,0.253950651510951
gcag,1851-01,-0.2007,1851-01-01,1,Winter,0.33434987524258386
gcag,1851-02,-0.4693,1851-02-01,2,Winter,0.2279694245316646
gcag,1851-03,-0.6461,1851-03-01,3,Summer,0.15794684938017348
gcag,1851-04,-0.5421,1851-04-01,4,Summer,0.1991365994692859
gcag,1851-05,-0.1976,1851-05-01,5,Summer,0.3355776466394709
gcag,1851-06,-0.1367,1851-06-01,6,Monsoon,0.35969741375896075
gcag,1851-07,-0.0968,1851-07-01,7,Monsoon,0.3755000198027645
gcag,1851-08,-0.1018,1851-08-01,8,Monsoon,0.37351974335617255
gcag,1851-09,-0.0912,1851-09-01,9,Post-Monsoon,0.37771792942294746
gcag,1851-10,-0.0084,1851-10-01,10,Post-Monsoon,0.4105113073785101
gcag,1851-11,-0.0819,1851-11-01,11,Post-Monsoon,0.3814012436136085
gcag,1851-12,-0.2275,1851-12-01,12,Winter,0.32373559348885106
gcag,1852-01,-0.3751,1852-01-01,1,Winter,0.26527783278545686
gcag,1852-02,-0.4767,1852-02-01,2,Winter,0.22503861539070855
gcag,1852-03,-0.5598,1852-03-01,3,Summer,0.19212642084835044
gcag,1852-04,-0.5854,1852-04-01,4,Summer,0.18198740544179967
gcag,1852-05,-0.1274,1852-05-01,5,Summer,0.3633807279496218
gcag,1852-06,-0.0837,1852-06-01,6,Monsoon,0.38068834409283536
gcag,1852-07,0.005,1852-07-01,7,Monsoon,0.41581844825537645
